Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.16,-1.9,2.12,9.26,12.66,17.01,19.93,22.63,18.6,13.37,6.34,0.32
1902,-2.38,-1.58,3.77,7.4,12.62,16.42,19.39,20.71,18.96,12.62,8.01,3.56
1903,0.56,-0.56,4.18,9.45,12.17,16.51,19.96,22.37,19.66,12.24,5.88,-0.14
1904,-2.64,-0.09,2.25,9.32,12.72,18.37,22.13,22.83,17.83,12.38,5.15,1.65
1905,0.43,-2.39,1.85,6.94,13.15,17.53,21.3,20.69,18.54,12.77,6.65,3.05
1906,-2.44,-2.02,2.28,8.22,12.89,16,21.46,22.09,17.43,12.19,5.34,1.58
1907,-0.55,-2.32,1.69,8.3,13.04,16.25,20.38,23.3,18.21,11.97,7.16,-0.06
1908,-1.87,-1.89,1.83,8.44,12.33,17.07,19.76,22.74,17.06,12.43,5.01,1.03
1909,-2.56,-2.34,1.24,9.15,12.85,17.31,21.61,22.71,18.96,11.35,6.62,0.39
1910,-0.06,-2.19,1.29,7.97,13.01,17.67,21.05,21.74,17.85,12.78,6.49,-0.51
1911,-1.95,-0.31,3.27,8.44,12.92,17.5,21.28,22.23,19.58,12.32,8.42,0.9
1912,-1.61,1.2,3.03,8.46,12.59,17.06,20.67,22.66,17.34,12.01,5.09,0.52
1913,-2.62,-1.25,1.2,9.39,12.15,16.54,20.03,21.14,16.82,12.24,6.2,1.04
1914,-0.19,-0.59,4.46,7.28,14.02,17.77,22.46,23.13,19.51,12.43,8.38,1.53
1915,-1.72,-0.6,1.5,7.74,11.87,18.43,21.4,22.94,19.71,14.3,7.7,2.16
1916,0.41,-0.29,0.98,8.27,13.07,19.61,21.91,23.4,20.02,13.18,8.15,2.4
1917,-2.24,-1.33,1.66,8.1,11.89,16.62,22.3,22.27,19.32,13.55,4.81,0.23
1918,-2.71,-1.2,2.32,7.91,12.64,17.11,22.3,22.77,19.03,12.82,6.38,0.37
1919,-1.79,-0.77,3.35,8.54,12.85,17.13,21.35,22.19,18.94,13.06,7.74,1.22
1920,-0.28,-1.75,2.74,8.4,12.75,17.71,22.97,23.16,18.81,12.88,8.23,1.21
1921,-0.85,-1.14,1.32,9.39,12.74,15.99,21.75,23.01,18.57,12.43,5.15,0.87
1922,-4.15,1.57,1.74,9.13,13.15,18.14,22.05,24.15,19.96,13.41,6.93,0.19
1923,-2.77,-1.6,3.61,8.05,13.62,16.96,20.78,23.91,19.71,12.88,7.44,1.62
1924,-1.64,-1.12,-0.24,9.58,12.58,16.64,23.48,23.43,18.55,12.26,6.04,0.89
1925,-1.57,-2.32,1.03,7.47,12.9,17.8,20.98,23.27,19.53,12.93,7.78,2.3
1926,-1.71,-0.57,1.72,6.7,12.97,16.3,21.18,22.89,19.61,11.21,5.99,0.29
1927,-1.83,-2.75,1.9,8.58,12.64,17.27,22.81,23.07,18.03,12.89,7.56,1.72
1928,-1.03,-1.81,2.4,8.42,14.16,16.99,21.69,22.57,20.61,13.31,7.54,0.82
1929,-2.43,-2.28,2.11,7.76,12.16,17.35,22.84,23.42,17.78,13.11,6.85,3.67
